League ID,League Name,Country,Sport,Revenue (USD),Average Player Salary (USD),Top Team,Total Teams,Founded Year,Viewership
L675,Premier League,Germany,American Football,4858110000,13840000,Manchester United,11,2018,119.96
L676,Premier League,Italy,American Football,7623720000,13950000,Manchester City,29,1916,189.17
L677,Premier League,India,Football,4495430000,10720000,Liverpool,28,1913,224.3
L678,Bundesliga,Italy,Basketball,2770260000,13490000,RB Leipzig,14,1991,201.49
L679,Premier League,Germany,Basketball,7374590000,1280000,Liverpool,21,1935,193.18
L680,Premier League,Germany,Cricket,1535430000,9030000,Manchester United,29,1880,32.94
L681,Serie A,England,Football,5159860000,10080000,Inter Milan,18,1960,479.42
L682,NBA,USA,Football,3079580000,13520000,Los Angeles Lakers,19,1990,428.36
L683,Bundesliga,England,Football,5457390000,1810000,Bayern Munich,17,1964,467.95
L684,Ligue 1,Spain,Cricket,3501420000,7350000,Paris Saint-Germain,29,1939,300.58
L685,Ligue 1,India,Cricket,3794670000,5330000,Olympique Marseille,22,2023,99.26
L686,IPL,USA,Football,6989200000,4020000,Mumbai Indians,13,1913,370.44
L687,Bundesliga,France,Basketball,4516380000,2460000,Bayern Munich,10,2021,477.95
L688,Bundesliga,Italy,Basketball,5568830000,3290000,Bayern Munich,31,1962,299.79
L689,Premier League,Germany,American Football,1812050000,14170000,Manchester United,26,1902,153.31
L690,NFL,USA,Football,2389400000,2890000,Dallas Cowboys,22,2021,409.7
L691,Bundesliga,India,American Football,2793070000,13700000,Bayern Munich,15,1920,286.56
L692,Premier League,USA,Basketball,6557340000,1960000,Manchester United,16,1945,18.36
L693,Ligue 1,India,Football,4627240000,8390000,Paris Saint-Germain,16,1966,386.27
L694,Premier League,France,Football,4324090000,11320000,Liverpool,19,2010,44.16
L695,La Liga,Spain,Cricket,6635030000,9240000,Real Madrid,32,1894,375.55
L696,Bundesliga,France,Football,2280400000,2970000,RB Leipzig,25,1914,159.88
L697,Ligue 1,USA,Cricket,694520000,12130000,Lyon,20,2009,194.31
L698,Premier League,USA,Football,5251210000,4780000,Manchester United,29,2004,79.36
L699,NBA,Germany,American Football,5898850000,11020000,Miami Heat,22,1897,238.5
L700,La Liga,India,Football,2865280000,2110000,Barcelona,17,1920,322.22
